tau,TP,TN,FP,FN,TPR,FPR,Precision,RUR,F1,J_Statistic,In_Dead_Zone
0.1,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.15,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.2,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.25,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.3,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.35,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.4,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.45,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.5,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.55,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.6,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.65,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.7,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.75,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.8,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.85,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
0.9,500,450,50,0,1.0,0.1,0.9090909090909091,0.1,0.9523809523809523,0.9,False
